"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"1","TP53","CDH1",3.19792048096232e-10,0.140162897700374,578,100,7,289,2.66493373413528e-09,"Mutually_Exclusive","CDH1, TP53","7/389"
"2","GATA3","TP53",1.6407577460415e-08,0.160531856966889,589,289,7,89,1.17196981860108e-07,"Mutually_Exclusive","GATA3, TP53","7/378"
"3","MUC16","TTN",1.24567284127676e-06,3.73214014515529,774,126,28,46,7.78545525797976e-06,"Co_Occurence","MUC16, TTN","28/172"
"4","PIK3CA","TP53",2.91523163568688e-05,0.517458385530017,430,228,68,248,0.000161957313093717,"Mutually_Exclusive","PIK3CA, TP53","68/476"
"5","TP53","MAP3K1",4.09983704118592e-05,0.232632362392242,614,64,7,289,0.000200282044968986,"Mutually_Exclusive","MAP3K1, TP53","7/353"
"6","PIK3CA","CDH1",4.40620498931768e-05,2.35046860954361,605,53,54,262,0.000200282044968986,"Co_Occurence","CDH1, PIK3CA","54/315"
"7","TTN","USH2A",0.000204608244224673,3.50358321816694,792,28,17,137,0.000852534350936138,"Co_Occurence","TTN, USH2A","17/165"
"8","USH2A","TP53",0.00130015132472855,2.75724552779216,657,272,24,21,0.00500058201818672,"Co_Occurence","TP53, USH2A","24/293"
"9","MLL3","PIK3CA",0.00206626827572469,2.21512357581718,623,281,35,35,0.00737952955615963,"Co_Occurence","MLL3, PIK3CA","35/316"
"10","MAP3K1","PIK3CA",0.00232256567545262,2.15021972430568,622,281,35,36,0.00774188558484208,"Co_Occurence","MAP3K1, PIK3CA","35/317"
"11","MLL3","MUC16",0.0044406801288072,2.80540001093178,842,62,12,58,0.0138771254025225,"Co_Occurence","MLL3, MUC16","12/120"
"12","FLG","MUC16",0.00488523025820427,3.31668724459275,864,65,9,36,0.0143683242888361,"Co_Occurence","FLG, MUC16","9/101"
"13","MUC16","CDH1",0.00560310949886017,2.44958513302942,809,91,16,58,0.014810945135381,"Co_Occurence","CDH1, MUC16","16/149"
"14","MLL3","TTN",0.00562815915144479,2.29604773543802,770,134,20,50,0.014810945135381,"Co_Occurence","MLL3, TTN","20/184"
"15","MLL3","MAP3K1",0.0133782882006062,2.61893666124182,844,60,11,59,0.0334457205015156,"Co_Occurence","MAP3K1, MLL3","11/119"
"16","FLG","TTN",0.0203351692089745,2.26797560966553,788,141,13,32,0.0484170695451775,"Co_Occurence","FLG, TTN","13/173"
"17","PIK3CA","GATA3",0.0213626201583407,0.553662404192388,583,75,21,295,0.0485514094507743,"Mutually_Exclusive","GATA3, PIK3CA","21/370"
"18","USH2A","FLG",0.0513052211408319,2.77369753016413,889,40,5,40,0.111533089436591,"Co_Occurence","FLG, USH2A","5/80"
"19","TP53","TTN",0.0563114765099163,1.42798265856821,581,97,57,239,0.117170070536862,"Co_Occurence","TP53, TTN","57/336"
"20","GATA3","CDH1",0.0585850352684309,0.418290533721115,776,102,5,91,0.117170070536862,"Mutually_Exclusive","CDH1, GATA3","5/193"
"21","MUC16","USH2A",0.0738515447603785,2.36708838715723,862,38,7,67,0.142022201462266,"Co_Occurence","MUC16, USH2A","7/105"
"22","MLL3","GATA3",0.0955560505084339,1.79504513119495,819,85,11,59,0.176955649089692,"Co_Occurence","GATA3, MLL3","11/144"
"23","MLL3","FLG",0.128752758854915,2.07725969011654,865,39,6,64,0.229915640812348,"Co_Occurence","FLG, MLL3","6/103"
"24","TTN","MAP3K1",0.178105228362339,0.562789461624891,756,64,7,147,0.307077979935067,"Mutually_Exclusive","MAP3K1, TTN","7/211"
