"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"25","MUC16","PIK3CA",0.198835055721985,1.37603406740347,613,287,29,45,0.331391759536642,"Co_Occurence","MUC16, PIK3CA","29/332"
"26","CDH1","TTN",0.261360679750948,1.3471663844037,734,133,21,86,0.421549483469272,"Co_Occurence","CDH1, TTN","21/219"
"27","FLG","TP53",0.318896505265527,1.41397311810655,650,279,17,28,0.493135071842539,"Co_Occurence","FLG, TP53","17/307"
"28","FLG","CDH1",0.325469147416076,1.52633040722116,829,100,7,38,0.493135071842539,"Co_Occurence","CDH1, FLG","7/138"
"29","FLG","PIK3CA",0.420363268732672,1.2788869926818,630,299,17,28,0.618181277548047,"Co_Occurence","FLG, PIK3CA","17/327"
"30","GATA3","FLG",0.438026628995043,1.43357799918661,839,39,6,90,0.625752327135776,"Co_Occurence","FLG, GATA3","6/129"
"31","MAP3K1","GATA3",0.535941928500896,0.67622919280136,812,91,5,66,0.717960392952325,"Mutually_Exclusive","GATA3, MAP3K1","5/157"
"32","MLL3","CDH1",0.554478167933987,1.21317558808056,806,98,9,61,0.717960392952325,"Co_Occurence","CDH1, MLL3","9/159"
"33","USH2A","MLL3",0.557689515019438,1.27533216664423,863,66,4,41,0.717960392952325,"Co_Occurence","MLL3, USH2A","4/107"
"34","MAP3K1","CDH1",0.560009106502813,0.733189601086526,802,101,6,65,0.717960392952325,"Mutually_Exclusive","CDH1, MAP3K1","6/166"
"35","TTN","PIK3CA",0.574483538518037,1.11123163604507,557,263,53,101,0.718104423147546,"Co_Occurence","PIK3CA, TTN","53/364"
"36","MAP3K1","MUC16",0.646316477567685,0.710668416812919,833,70,4,67,0.788190826302055,"Mutually_Exclusive","MAP3K1, MUC16","4/137"
"37","USH2A","PIK3CA",0.744612520775588,0.839477861367005,626,303,13,32,0.886443477113796,"Mutually_Exclusive","PIK3CA, USH2A","13/335"
"38","USH2A","MAP3K1",0.766309382984968,0.579973301244484,860,69,2,43,0.891057422075544,"Mutually_Exclusive","MAP3K1, USH2A","2/112"
"39","MLL3","TP53",0.788580747741637,0.910224953049006,628,276,20,50,0.896114486070042,"Mutually_Exclusive","MLL3, TP53","20/326"
"40","MUC16","GATA3",0.838528965464587,0.79429180064087,810,90,6,68,0.931698850516208,"Mutually_Exclusive","GATA3, MUC16","6/158"
"41","MUC16","TP53",0.895818424892913,1.03571081680021,627,273,23,51,0.973715679231427,"Co_Occurence","MUC16, TP53","23/324"
"42","GATA3","TTN",1,0.984558988136186,739,139,15,81,1,"Mutually_Exclusive","GATA3, TTN","15/220"
"43","FLG","MAP3K1",1,0.904492628592802,861,68,3,42,1,"Mutually_Exclusive","FLG, MAP3K1","3/110"
"44","USH2A","CDH1",1,1.01346736716939,827,102,5,40,1,"Co_Occurence","CDH1, USH2A","5/142"
"45","USH2A","GATA3",1,0.88767482933768,837,92,4,41,1,"Mutually_Exclusive","GATA3, USH2A","4/133"
