"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000000003.13"	4951.38196137285	-0.371110984258617	0.726355316980181	-0.510922100496915	0.609405605131763	0.946886107673314
"ENSG00000000419.11"	1363.03095597261	0.0545715244537425	0.261488535533587	0.208695667450144	0.834685822547122	0.9847672713064
"ENSG00000000457.12"	1201.15048014642	-0.452717583281704	0.527178629407085	-0.858755567900908	0.390475385915057	0.885022407507379
"ENSG00000000460.15"	368.619609635848	0.592503007275347	0.456879109252265	1.29684854325042	0.194683304385968	0.754551052340158
"ENSG00000000938.11"	377.592931684645	-1.36867415686566	0.754823110616232	-1.81323827743997	0.069795078462692	0.550424066059536
"ENSG00000000971.14"	8969.68355284785	-0.0956617616943771	1.19281490699222	-0.080198328452816	0.936079519582869	0.994617878470561
"ENSG00000001036.12"	3412.60257948219	0.0575569924546603	0.505800560234446	0.113793848761223	0.909401214896602	0.991023137179418
"ENSG00000001084.9"	2324.92360100669	2.18906436824998	0.563799611959118	3.88269931694935	0.000103303277854091	0.0182732020381904
"ENSG00000001167.13"	1508.17749089498	0.517199478670082	0.390791415314962	1.32346683780973	0.185680177427629	0.747415530884413
"ENSG00000001460.16"	384.918081361089	-0.147909354616493	0.491586998546819	-0.300881339526326	0.763504980261994	0.977181771104685
"ENSG00000001461.15"	1152.51831702803	-0.443662411551211	0.452111011229924	-0.981312997319553	0.326438415243897	0.848907079907702
"ENSG00000001497.15"	2172.56209320213	0.100948428608785	0.288592327543208	0.349795954272799	0.726491835494804	0.972374169433838
"ENSG00000001561.6"	1242.35705572572	-0.216363863852097	0.560259371701687	-0.386185175617734	0.699359531923496	0.967982758850391
"ENSG00000001617.10"	1112.39210151676	1.21140985215462	0.77758348170194	1.55791613461636	0.119253129926398	0.665542413134667
"ENSG00000001626.13"	11494.6862310523	-1.78574116437606	1.54138696094811	-1.15852878583951	0.246648311519752	0.807535448718652
"ENSG00000001629.8"	2442.05823193314	-0.084039256155391	0.442651194976385	-0.189854352838411	0.849423262964382	0.986263367826178
"ENSG00000001630.14"	282.485836246093	-0.628096281575828	0.616031312616272	-1.01958499302303	0.307925325233052	0.838694812268637
"ENSG00000001631.13"	1305.93680489509	0.226651076344481	0.428025640147563	0.529526867283798	0.596440011591851	0.944188078141109
"ENSG00000002016.15"	549.540310759501	0.705618118010404	0.463348845279909	1.52286581740403	0.127792279288693	0.678365997377289
"ENSG00000002079.11"	31.5615695978962	0.188964053299071	1.09389384314671	0.172744416181641	0.862852329507992	0.987824373716955
"ENSG00000002330.12"	2218.03820678531	-0.85060950628666	0.560992693063315	-1.51625772813882	0.129454196002727	0.680542917015986
"ENSG00000002549.11"	4357.82001315037	-1.19028791284366	0.416586559628953	-2.85724031496318	0.00427342156158906	0.185966846270154
"ENSG00000002586.16"	6006.4962662693	-0.277162359228231	0.506326684654747	-0.547398285787016	0.584105132721424	0.940045978184469
"ENSG00000002587.8"	1178.11198315885	0.468489497201396	0.799596081753198	0.585907695012942	0.557937545941765	0.932871574616364
"ENSG00000002726.18"	264.866833202045	2.71113540872098	1.73219732732112	1.5651423576053	0.11754953364688	0.662679157168106
"ENSG00000002746.13"	33.0512444112414	2.83582901847584	1.05493972335638	2.68814317604177	0.00718505815745053	0.231874973551238
"ENSG00000002822.14"	1559.26568748855	-0.18178618994636	0.474515285784545	-0.383098701753731	0.701646582189073	0.967982758850391
"ENSG00000002834.16"	16639.6094667552	0.389052935722877	0.387322138616112	1.00446862426441	0.31515278716241	0.843132228839961
"ENSG00000002919.13"	1110.2352196064	-0.105679685642973	0.385867087862632	-0.273875873240048	0.784180013298374	0.97898315564799
"ENSG00000002933.6"	5579.58742130806	-0.0582890183580819	0.973707083389207	-0.0598629909882075	0.952264755920875	0.99704405881357
"ENSG00000003056.6"	3169.41076343055	0.0611111915989073	0.460653217797114	0.132662031302303	0.894460672016156	0.990172517863484
"ENSG00000003096.12"	150.838116390755	-2.82523409604228	0.946033585224386	-2.9863993627374	0.00282283732407373	0.153323409804941
"ENSG00000003137.7"	366.907220623065	1.28637685512957	1.34689490248614	0.955068471010716	0.339543072031897	0.856660175395848
"ENSG00000003147.16"	1810.25875140417	0.476196888890188	0.555313296415094	0.857528339343478	0.391152959747959	0.885186058798632
"ENSG00000003249.12"	2832.72222917646	-0.440575116952259	0.735955683407864	-0.598643541839589	0.549410613661969	0.930688958821927
"ENSG00000003393.13"	1708.4239745325	0.119687059290262	0.395574138138339	0.302565430221338	0.762221062941937	0.977083217234299
"ENSG00000003400.13"	983.289622816493	-0.00616821855267495	0.390448086111308	-0.0157977943088611	0.987395708104563	0.998757978576098
"ENSG00000003402.18"	7983.24986063393	-0.123464115881357	0.297473321363103	-0.415042650936261	0.678110680700653	0.963337893034027
"ENSG00000003436.13"	3775.255941264	-0.353040746426482	1.16874046511362	-0.302069413154238	0.762599148707128	0.977181771104685
"ENSG00000003509.14"	589.014762868587	0.591546063733697	0.302751091094584	1.95390233473639	0.0507127684196901	0.489314711314484
"ENSG00000003756.15"	3054.61674603729	0.0744735150411297	0.427331310052891	0.174275821333831	0.861648700235833	0.987824373716955
"ENSG00000003987.12"	67.1583738551401	-0.0258869187696146	0.49380460176517	-0.0524234052843541	0.958191325035682	0.99721597945701
"ENSG00000003989.15"	1549.63713243624	0.295820934842314	1.03393922793909	0.286110563221363	0.774793441309947	0.977652173235484
"ENSG00000004059.9"	7124.72871881623	-0.316458101470369	0.429409028718641	-0.736961918138243	0.461145508199144	0.907054866253379
"ENSG00000004139.12"	558.312316639199	0.20119894760129	0.696783824463259	0.288753757675525	0.77276982135791	0.977181771104685
"ENSG00000004142.10"	7399.6432723315	-0.26335150583071	0.367097408566345	-0.717388626793085	0.47313433525395	0.910121113111785
"ENSG00000004399.11"	4643.34298687479	-0.130753884207269	0.488612370960055	-0.267602484051634	0.789005318684939	0.979689701413654
"ENSG00000004455.15"	4690.49813108318	-0.70106234372005	0.461145233523922	-1.520263666964	0.128444721689419	0.679168642567698
