Gene_type	Num
protein_coding	18070
lncRNA	13644
processed_pseudogene	10030
unprocessed_pseudogene	2412
misc_RNA	2203
snRNA	1845
miRNA	1401
TEC	1011
snoRNA	903
transcribed_unprocessed_pseudogene	851
transcribed_processed_pseudogene	496
rRNA_pseudogene	489
IG_V_pseudogene	180
IG_V_gene	141
transcribed_unitary_pseudogene	139
TR_V_gene	103
TR_J_gene	73
unitary_pseudogene	71
scaRNA	47
rRNA	35
TR_V_pseudogene	33
IG_D_gene	33
Mt_tRNA	22
artifact	19
IG_J_gene	18
IG_C_gene	14
IG_C_pseudogene	9
ribozyme	8
TR_C_gene	5
vault_RNA	4
TR_J_pseudogene	4
TR_D_gene	3
IG_J_pseudogene	3
Mt_rRNA	2
sRNA	2
scRNA	1
translated_processed_pseudogene	1
