"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"1","TTN","SYNE1",0.00536085268563129,2.8527446353421,77,13,31,64,0.0446737723802608,"Co_Occurence","SYNE1, TTN","31/77"
"2","LRP1B","TTN",0.00732230169060687,3.02448792788484,81,71,24,9,0.0523021549329062,"Co_Occurence","LRP1B, TTN","24/80"
"3","TTN","DNAH5",0.00893326758968457,2.84129413375396,80,10,25,70,0.0558329224355287,"Co_Occurence","DNAH5, TTN","25/80"
"4","HMCN1","DNAH5",0.0272322880849429,2.64961550724278,128,24,11,22,0.136161440424714,"Co_Occurence","DNAH5, HMCN1","11/46"
"5","LRP1B","DNAH5",0.0272322880849429,2.64961550724278,128,24,11,22,0.136161440424714,"Co_Occurence","DNAH5, LRP1B","11/46"
"6","CSMD3","LRP1B",0.0315698461082943,2.62902934675575,125,21,12,27,0.143499300492247,"Co_Occurence","CSMD3, LRP1B","12/48"
"7","HMCN1","FLG",0.0410246019077712,2.55338402301914,130,22,10,23,0.17093584128238,"Co_Occurence","FLG, HMCN1","10/45"
"8","LRP1B","HMCN1",0.0471830940623651,2.42462440018869,129,23,10,23,0.171780891227121,"Co_Occurence","HMCN1, LRP1B","10/46"
"9","MUC16","MLL2",0.0486560179865128,0.323822710297553,106,28,4,47,0.171780891227121,"Mutually_Exclusive","MLL2, MUC16","4/75"
"10","HMCN1","MUC16",0.0515342673681362,2.27872815658981,115,37,14,19,0.171780891227121,"Co_Occurence","HMCN1, MUC16","14/56"
"11","MUC16","TTN",0.0701853265690346,1.8915251268896,71,63,32,19,0.219329145528233,"Co_Occurence","MUC16, TTN","32/82"
"12","MUC16","SYNE1",0.0811099187098836,1.97357663124858,107,27,17,34,0.231379683410277,"Co_Occurence","MUC16, SYNE1","17/61"
"13","TTN","TP53",0.0832966860276998,0.492519702644118,11,79,74,21,0.231379683410277,"Mutually_Exclusive","TP53, TTN","74/100"
