"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"14","HMCN1","TTN",0.129049240427197,1.83853331875959,78,74,21,12,0.32724740277074,"Co_Occurence","HMCN1, TTN","21/86"
"15","LRP1B","MUC16",0.130898961108296,1.9423396136538,114,38,13,20,0.32724740277074,"Co_Occurence","LRP1B, MUC16","13/58"
"16","DNAH5","TP53",0.145263943816645,0.525254538412423,23,127,26,9,0.330145326856012,"Mutually_Exclusive","DNAH5, TP53","26/136"
"17","DNAH5","FLG",0.145263943816645,1.90383885691399,127,23,9,26,0.330145326856012,"Co_Occurence","DNAH5, FLG","9/49"
"18","CSMD3","HMCN1",0.162363977791557,1.83735127315877,123,23,10,29,0.352965169112081,"Co_Occurence","CSMD3, HMCN1","10/52"
"19","LRP1B","SYNE1",0.177500471213938,1.79679922670686,119,33,11,22,0.357739764511459,"Co_Occurence","LRP1B, SYNE1","11/55"
"20","FLG","TTN",0.179010860293309,1.72820996892316,78,75,20,12,0.357739764511459,"Co_Occurence","FLG, TTN","20/87"
"21","MUC16","TP53",0.193179472836188,0.572022909149866,20,114,39,12,0.357739764511459,"Mutually_Exclusive","MUC16, TP53","39/126"
"22","FLG","MUC16",0.193179472836188,1.74818173189285,114,39,12,20,0.357739764511459,"Co_Occurence","FLG, MUC16","12/59"
"23","MLL2","HMCN1",0.21055089167628,0.425756447474279,123,30,3,29,0.375983735136214,"Mutually_Exclusive","HMCN1, MLL2","3/59"
"24","MLL2","SYNE1",0.26410459911418,0.542916848175395,114,39,5,27,0.455352757093413,"Mutually_Exclusive","MLL2, SYNE1","5/66"
"25","LRP1B","TP53",0.308001097879329,0.587844291387715,24,128,25,8,0.513335163132215,"Mutually_Exclusive","LRP1B, TP53","25/136"
"26","FLG","CSMD3",0.339873007053248,1.59988348071102,123,30,9,23,0.5310515735207,"Co_Occurence","CSMD3, FLG","9/53"
"27","MLL2","CSMD3",0.339873007053248,1.59988348071102,123,30,9,23,0.5310515735207,"Co_Occurence","CSMD3, MLL2","9/53"
"28","CSMD3","TTN",0.367465276023565,1.47431035849104,74,72,23,16,0.542085423154351,"Co_Occurence","CSMD3, TTN","23/88"
"29","HMCN1","SYNE1",0.368618087744959,1.50536572113848,118,34,10,23,0.542085423154351,"Co_Occurence","HMCN1, SYNE1","10/57"
"30","DNAH5","MUC16",0.40062110583147,1.48160427657234,111,39,12,23,0.572315865473529,"Co_Occurence","DNAH5, MUC16","12/62"
"31","CSMD3","DNAH5",0.491840352275247,1.38203838844488,120,26,9,30,0.683111600382288,"Co_Occurence","CSMD3, DNAH5","9/56"
"32","LRP1B","MLL2",0.611166202436735,1.36522519485486,127,25,7,26,0.822232412525969,"Co_Occurence","LRP1B, MLL2","7/51"
"33","MLL2","DNAH5",0.624896633519736,1.24842969919648,125,28,7,25,0.822232412525969,"Co_Occurence","DNAH5, MLL2","7/53"
"34","DNAH5","SYNE1",0.66269785950087,0.76456799348071,113,37,7,28,0.849612640385731,"Mutually_Exclusive","DNAH5, SYNE1","7/65"
"35","MLL2","TP53",0.799691680043167,0.887744488440122,26,127,26,6,0.999614600053958,"Mutually_Exclusive","MLL2, TP53","26/133"
"36","FLG","SYNE1",0.823016538562107,1.08285425528884,117,36,8,24,1,"Co_Occurence","FLG, SYNE1","8/60"
"37","CSMD3","MUC16",0.842105422618042,0.88365910991294,105,41,10,29,1,"Mutually_Exclusive","CSMD3, MUC16","10/70"
"38","CSMD3","SYNE1",1,0.951679850648332,111,35,9,30,1,"Mutually_Exclusive","CSMD3, SYNE1","9/65"
"39","LRP1B","FLG",1,1.07649340210116,126,26,6,27,1,"Co_Occurence","FLG, LRP1B","6/53"
"40","SYNE1","TP53",1,1.13839238208676,25,116,37,7,1,"Co_Occurence","SYNE1, TP53","37/123"
"41","CSMD3","TP53",1,0.944800816322287,25,121,32,7,1,"Mutually_Exclusive","CSMD3, TP53","32/128"
"42","HMCN1","TP53",1,0.928942061370872,26,126,27,6,1,"Mutually_Exclusive","HMCN1, TP53","27/132"
"43","FLG","TP53",1,1.15625349993067,27,126,27,5,1,"Co_Occurence","FLG, TP53","27/131"
"44","MLL2","TTN",1,0.937062470771189,74,79,16,16,1,"Mutually_Exclusive","MLL2, TTN","16/95"
"45","MLL2","FLG",1,0.864862246955329,126,27,5,27,1,"Mutually_Exclusive","FLG, MLL2","5/54"
