tumor,p-value,Adjusted_p-value
ESCA,0.8104009835084772,0.8104009835084772
KICH,0.0011221131468245374,0.011221131468245374
PAAD,0.17122448584483496,0.42355649492016406
LUAD,0.3396100059058982,0.4851571512941403
LUSC,0.4606489988272786,0.5349516289778681
CESC,0.2541338969520984,0.42355649492016406
KIRC,0.4814564660800813,0.5349516289778681
KIRP,0.21788924968804457,0.42355649492016406
BLCA,0.07486780913923491,0.2495593637974497
HNSC,0.03415951321704667,0.17079756608523333
