	CD14_positive_monocyte	CD16_positive_monocyte	CD4_positive_alpha_beta_T_cell	CD56bright_natural_killer_cell	CD56dim_natural_killer_cell	CD8_positive_alpha_beta_T_cell	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	macrophage_m0	macrophage_m1	macrophage_m2	memory_B_cell	myeloid_dendritic_cell	naive_B_cell	neutrophil	plasma_cell	plasmacytoid_dendritic_cell	natural_killer_cell	monocyte	B_cell	T_cell	granulocyte
TCGA.3Z.A93Z.01A	0.0121504622937234	0	0.355202385614489	0	0.16388298348634	0.0463035684552468	0	0.000271884925186723	0.0117530354065661	0	0.0487611335990958	0.0980121065711129	0.031462132788348	0	0	0	0.0879546649596804	0	0	0.144245641900211	0.16388298348634	0.0121504622937234	0.0879546649596804	0.401505954069736	0.0120249203317528
TCGA.6D.AA2E.01A	0	0.00439164909310238	0.080174149218232	0	0.124253960277618	0.0453076693115397	0	0	0.0360253439128627	0	0.0430126744469873	0.567121503036215	0.0654780855750192	0	0	0	0.0114415564657043	0	0.0108898865454041	0.0119035221173161	0.124253960277618	0.00439164909310238	0.0223314430111084	0.125481818529772	0.0360253439128627
TCGA.A3.3306.01A	0	0.022996507758749	0.347531871715277	0	0.206070736447064	0.0557703665159656	0.0528072839499576	0.000928459497892856	0.0262934186375754	0	0.0339774644743022	0.024081398088272	0.0191031213429974	0	0	0.0509465476536555	0.0931434598794297	0	0.00651549619165813	0.0598338678472037	0.206070736447064	0.022996507758749	0.0996589560710878	0.403302238231243	0.0272218781354683
TCGA.A3.3307.01A	0.00550819939246385	0.0041741961137729	0.322872135796653	0	0.169277648823426	0.0521423728610372	0	0.00152518238178988	0.0817664994308131	0	0.0312396750850107	0.162843057363346	0.0381824175558122	0	0	0.0434436502277916	0.0870249649680835	0	0	0	0.169277648823426	0.00968239550623675	0.0870249649680835	0.37501450865769	0.083291681812603
TCGA.A3.3308.01A	0.0610438792504918	0	0.2319896564974	0	0.188926376526052	0.0307947748768579	0.00160174998879375	0	0.00402474963867965	0	0.0383690614547802	0.146178967336326	0.0242528843530283	0	0	0	0.202921331529172	0	0	0.069896568548419	0.188926376526052	0.0610438792504918	0.202921331529172	0.262784431374258	0.00402474963867965
TCGA.A3.3311.01A	0.0719671887861863	0	0.279299106632947	0	0.158365283306327	0.0436181201872406	0	0.00409408888868021	0	0	0.0215511948179196	0.120618080377299	0.0549247532590682	0	0	0	0.0923237744434391	0	0.00333726540319662	0.149901143897696	0.158365283306327	0.0719671887861863	0.0956610398466357	0.322917226820188	0.00409408888868021
TCGA.A3.3313.01A	0	0.00933557465801835	0.0367261113621369	0	0.0993500978963658	0.0356073014277021	0	0	0.0104336976446306	0	0	0.716818115444255	0	0	0	0	0.0619605521445632	0	0.0297685494223285	0	0.0993500978963658	0.00933557465801835	0.0917291015668917	0.072333412789839	0.0104336976446306
TCGA.A3.3316.01A	0.0803324172318674	0	0.192598546564399	0	0.189618851540307	0.0357563499807034	0.0100126688030573	0	0	0	0.027594818185075	0.149765117037183	0.0270542996555626	0	0	0	0.148447688788636	0	0.0188244418897802	0.119994800323429	0.189618851540307	0.0803324172318674	0.167272130678416	0.228354896545102	0
TCGA.A3.3317.01A	0.0128624173198971	0	0.273931330227605	0	0.186639692849055	0.0607972013834595	0.0668329458130799	0	0	0	0.0371752136943215	0.243432654603846	0.0216820993270275	0	0	0	0.0928482132662318	0	0.00379823151547654	0	0.186639692849055	0.0128624173198971	0.0966464447817083	0.334728531611065	0
TCGA.A3.3319.01A	0.0397675011018689	0	0.262827064853809	0	0.129180598919215	0.0463013126741666	0.0503376176047777	0	0	0	0.00715371950904866	0.0449321272540049	0.0360170653985598	0	0	0	0.0681296945544032	0	0.0677684049034533	0.247584893226692	0.129180598919215	0.0397675011018689	0.135898099457856	0.309128377527976	0
TCGA.A3.3320.01A	0.00331183300441858	0.00434596107495606	0.339717739834976	0	0.200667948092621	0.051819656552165	0	0.00466402000995695	0.108507406450322	0	0.0327597081069266	0.123418872990253	0.0103467012270675	0	0	0.0299555943297438	0.0904845583265932	0	0	0	0.200667948092621	0.00765779407937464	0.0904845583265932	0.391537396387141	0.113171426460279
TCGA.A3.3322.01A	0.0308119559406652	0	0.321050236764441	0	0.229851242384694	0.0505157934334627	0	0.0134276170048102	0	0	0.00419940701331127	0.129230417819531	0.00164964430257344	0	0	0.0202714668268328	0.0820820188245768	0	0.0146741801001874	0.102236019584914	0.229851242384694	0.0308119559406652	0.0967561989247642	0.371566030197904	0.0134276170048102
TCGA.A3.3323.01A	0.0479260613447729	0	0.260790618672212	0	0.180726989038343	0.0402051521793659	0	0	0.0146319085407738	0	0.0293537549688256	0.131779076486993	0.0372339636598761	0	0	0	0.11410366421493	0	0	0.143248810893908	0.180726989038343	0.0479260613447729	0.11410366421493	0.300995770851578	0.0146319085407738
TCGA.A3.3324.01A	0.0317115034749803	0	0.275197082215533	0	0.183705478167785	0.0598524164334787	0	0.00722678388513381	0.00103084503093604	0	0.0197338624062915	0.132248764084166	0.0306697722590166	0	0	0	0.0769089615099635	0	0	0.181714530532714	0.183705478167785	0.0317115034749803	0.0769089615099635	0.335049498649012	0.00825762891606985
TCGA.A3.3325.01A	0.041674122668162	0	0.337412053549251	0	0.179196941222363	0.0461881569830495	0.000803419582196027	0	0.00351642812793684	0	0.0838426147049909	0.123873976634814	0	0	0	0	0.154297747737147	0	0	0.0291945387900895	0.179196941222363	0.041674122668162	0.154297747737147	0.383600210532301	0.00351642812793684
TCGA.A3.3326.01A	0.00440369977218851	0.000366509883162352	0.336870023800373	0	0.128133518028573	0.0329819940893821	0	0.0013150464432785	0.0355342724316372	0	0.0393633439538728	0.175662803764329	0.102330206388289	0	0	0	0.112126037370389	0	0	0.0309125440745255	0.128133518028573	0.00477020965535086	0.112126037370389	0.369852017889755	0.0368493188749157
TCGA.A3.3328.01A	0.00056863364264709	0	0.673311718424903	0	0.13674144765439	0	0.0539170698234012	0	0.0168119798322369	0	0.0634831609368686	0	0.0321120466680104	0	0	0.0104174387138089	0.0126365043037345	0	0	0	0.13674144765439	0.00056863364264709	0.0126365043037345	0.673311718424903	0.0168119798322369
TCGA.A3.3329.01A	0.0243234076782401	0	0.316566170467901	0	0.161878209925221	0.0463363329803407	0	0.00563731418585759	0.0565459455572617	0	0.0505118757343305	0.117879943356689	0.0895637480914613	0	0	0.00188143089724815	0.0799216022554763	0	0	0.0489540188699737	0.161878209925221	0.0243234076782401	0.0799216022554763	0.362902503448242	0.0621832597431193
TCGA.A3.3331.01A	0.0866515985491415	0	0.326616324637303	0	0.194845324655034	0.0520843581381131	0	0.0140296805306342	0.00671875973140167	0	0.0147710019565939	0.155615374267276	0.0329751369267956	0	0	0	0.0317863240002546	0	0.000417697142222683	0.0834884194652289	0.194845324655034	0.0866515985491415	0.0322040211424773	0.378700682775416	0.0207484402620359
TCGA.A3.3335.01A	0	0.025932259374107	0.332786530532829	0	0.168636277851713	0.0656441446020162	0.00909794865793336	0.00827810585249342	0.00108951673069144	0	0.0266042152614386	0.0910969432673064	0.0295466567019684	0	0	0	0.0152156917201051	0	0.0463348869684859	0.179736822478913	0.168636277851713	0.025932259374107	0.061550578688591	0.398430675134845	0.00936762258318486
TCGA.A3.3343.01A	0.00041910549011723	0.0153522228990264	0.283319755242257	0	0.151640123857928	0.0459342728171622	0	0.00731122434725699	0.0881022722217185	0	0.024642490872313	0.208601507453939	0.0381392216985893	0	0	0	0.050972293811967	0	0	0.0855655092877252	0.151640123857928	0.0157713283891436	0.050972293811967	0.329254028059419	0.0954134965689755
TCGA.A3.3346.01A	0.0211107662010802	0	0.179952809942578	0	0.0954891643703011	0.0493550462742115	0.0354261714234492	0	0	0	0.0145557479517087	0.284756998785562	0.060141014208918	0	0	0	0.0605802118273785	0	0	0.198632069014813	0.0954891643703011	0.0211107662010802	0.0605802118273785	0.22930785621679	0
TCGA.A3.3347.01A	0.123393879377581	0	0.209594990965419	0	0.114286132757034	0.0341358186065554	0	0	0.0562393681809851	0	0.0257154171821916	0.0946766934560024	0.137957129935065	0	0	0	0.0297104892324316	0	0	0.174290080306734	0.114286132757034	0.123393879377581	0.0297104892324316	0.243730809571974	0.0562393681809851
TCGA.A3.3349.01A	0.114967633611605	0	0.274033318274999	0	0.146525985371211	0.0351943104030569	0	0.00183797284031977	0	0	0.0432804241066722	0.271966214998692	0	0	0	0.000622836842179576	0.0909984148185333	0	0	0.0205728887327319	0.146525985371211	0.114967633611605	0.0909984148185333	0.309227628678056	0.00183797284031977
TCGA.A3.3351.01A	0.0648353786015645	0	0.294851591445581	0	0.156795064403962	0.0781055954258688	0	0.00831062604398729	0.0243130738686785	0	0.0408702326590972	0.105621301159219	0.0760628342462513	0	0	0	0.0381834205138727	0	0	0.112050881631917	0.156795064403962	0.0648353786015645	0.0381834205138727	0.37295718687145	0.0326236999126658
TCGA.A3.3352.01A	0.0228339688092958	0	0.332331053275252	0	0.177527715397766	0.0375503153290694	0	0	0.00926408510423814	0	0.0647180792673859	0.121005010402827	0.0187871559197691	0	0	0	0.139512933873164	0	0	0.0764696826212327	0.177527715397766	0.0228339688092958	0.139512933873164	0.369881368604321	0.00926408510423814
TCGA.A3.3357.01A	0.00953036423537048	0	0.273190971285503	0	0.144651153007542	0.0580073135863371	0	0.00151721220007815	0.00878034180537716	0	0.0239455600747114	0.196004317844745	0.0345330469267551	0	0	0	0.0853039630676014	0	0.013942837824183	0.150592918141797	0.144651153007542	0.00953036423537048	0.0992468008917844	0.33119828487184	0.0102975540054553
TCGA.A3.3358.11A	0	0.0254395104117841	0.366918210643242	0	0.0899664055989134	0.0105429181204073	0.110578684803566	0	0.0311525358174068	0	0.0412023047167981	0.206656471246687	0.102423716875177	0	0	0	0	0	0.0151192417660184	0	0.0899664055989134	0.0254395104117841	0.0151192417660184	0.377461128763649	0.0311525358174068
TCGA.A3.3358.01A	0.0937135310218139	0	0.263635606368896	0	0.141191253591058	0.0544075694215864	0	0	0.0263488639540748	0	0.0335600490743778	0.185510401503955	0.0535303074148611	0	0	0	0.119189470746091	0	0	0.0289129469032861	0.141191253591058	0.0937135310218139	0.119189470746091	0.318043175790482	0.0263488639540748
TCGA.A3.3359.01A	0.00562683802473678	0.00497470105296194	0.35943835931679	0	0.14171893943443	0.0563073299065987	0	0.00685812873102083	0.0912335326162026	0	0.0443721572767381	0.131325931803785	0.0818736095306648	0	0	0	0.0762704723060721	0	0	0	0.14171893943443	0.0106015390776987	0.0762704723060721	0.415745689223389	0.0980916613472234
TCGA.A3.3362.01A	0.0232087793055928	0	0.388366288721979	0	0.175031833167999	0.0501360392192487	0	0.00409208355638637	0	0	0.0548565712133196	0.158020272862532	0.0276473387044103	0	0	0	0.1025932428676	0	0.00495256303262302	0.0110949873483088	0.175031833167999	0.0232087793055928	0.107545805900223	0.438502327941228	0.00409208355638637
TCGA.A3.3363.01A	0.0228685152401154	0	0.301515397388089	0	0.137050265281984	0.0386243337981105	0.0165452472777661	0.00107998055107971	0.00422154408386909	0	0.0133159594453425	0.145186284171868	0.0340290168718061	0	0.0122606369135792	0	0	0	0	0.273302818976389	0.137050265281984	0.0228685152401154	0.0122606369135792	0.3401397311862	0.0053015246349488
TCGA.A3.3365.01A	0.00176862550317806	0	0.37052221682906	0	0.220396348836518	0.0551060567455718	0	0.0197775321698724	0	0	0.0186736931526936	0.239047684458967	0	0	0	0.0656442625009285	0	0	0.00906357980321031	0	0.220396348836518	0.00176862550317806	0.00906357980321031	0.425628273574632	0.0197775321698724
TCGA.A3.3367.01A	0.0358654290980021	0	0.3304060284159	0	0.200687858032061	0.0390253506546113	0	0	0.0344252206033074	0	0.0403242643214201	0.0909464960809367	0.021589486447267	0	0	0.0119065413923322	0.170843518463366	0	0	0.0239798064907966	0.200687858032061	0.0358654290980021	0.170843518463366	0.369431379070511	0.0344252206033074
TCGA.A3.3370.01A	0	0.0188613785445278	0.313377061641104	0	0.134063471179751	0.0624824271619863	0	0	0.120607611427248	0	0.0247079251460027	0.151162833860145	0.0678313108097832	0	0	0.00208237494663596	0.104823605282816	0	0	0	0.134063471179751	0.0188613785445278	0.104823605282816	0.37585948880309	0.120607611427248
TCGA.A3.3372.01A	0.00537436322006081	0.00117249314777285	0.32423218599638	0	0.193837567106478	0.0540403463991151	0	0.00486124372192461	0.0431880112043316	0	0.0485843221387068	0.115340973907249	0.0413456741782897	0	0	0	0.0505706640466816	0	0	0.117452154933011	0.193837567106478	0.00654685636783366	0.0505706640466816	0.378272532395495	0.0480492549262562
TCGA.A3.3373.01A	0	0.0381958340839306	0.292114743360812	0	0.118326306816836	0.0363343940704869	0	0.000163837731722409	0.155052156630271	0	0.0543418399958223	0.236066914058435	0.0198436269597086	0	0	0	0.049560346291975	0	0	0	0.118326306816836	0.0381958340839306	0.049560346291975	0.328449137431299	0.155215994361993
TCGA.A3.3374.01A	0	0	0.156057744476007	0	0.113361752174527	0.0105101245125797	0.0619978125438723	0	0.0390825589668378	0	0.0426301579813817	0.295122483713128	0.159487903124459	0.0849469771907429	0	0	0.0368024853164654	0	0	0	0.113361752174527	0	0.0368024853164654	0.166567868988587	0.0390825589668378
