disease_state	cell.type	Mean	SD	Q25	Q50 (Median)	Q75
case	B_cell	0.103325042690712	0.047979505496886	0.0729825240131497	0.0893104488105883	0.127888911505143
case	CD14_positive_monocyte	0.0435676152059597	0.0692825510603909	0	0.0111026548532033	0.0589652618670756
case	CD16_positive_monocyte	0.00912540672915622	0.0131202973392819	0	0	0.0186541371876034
case	CD4_positive_alpha_beta_T_cell	0.113303530337842	0.0466379410862714	0.0775292525918469	0.10756112914739	0.146801691422946
case	CD56bright_natural_killer_cell	0	0	0	0	0
case	CD56dim_natural_killer_cell	0.123797729396604	0.0359408693241747	0.100677011043503	0.12108325120369	0.145301845570888
case	CD8_positive_alpha_beta_T_cell	0.0449502799681835	0.00969857830677222	0.0385255464456069	0.043705057963577	0.0496623061283228
case	MAST_cell	0.393550967008359	0.179814483418461	0.243701265657427	0.438129726046058	0.525804301829028
case	T_cell	0.158253810306025	0.048380262906168	0.124461797528332	0.154119888791889	0.193487071228289
case	basophil	8.49762400586309e-05	0.000764786160527678	0	0	0
case	eosinophil	0.000758189330144949	0.00526199517232358	0	0	0
case	gamma_delta_T_cell	0	0	0	0	0
case	granulocyte	0.00268842359235937	0.00840298199001717	0	0	0
case	hematopoietic_progenitor	0.0167823959043668	0.0321970198036198	0	0	0.0186235226610926
case	macrophage_m0	0.0550582948744847	0.0537227597686897	0.00846033398889227	0.0444285070731007	0.082879791006056
case	macrophage_m1	0.0558117156431872	0.0536229109885184	0.0263255082885214	0.039682764240875	0.057670547781888
case	macrophage_m2	0.0022686421093306	0.018462017409786	0	0	0
case	memory_B_cell	0.000147825572373612	0.00133043015136251	0	0	0
case	monocyte	0.0526930219351159	0.0645607344308318	0.016312671459828	0.0279593815795028	0.0589652618670756
case	myeloid_dendritic_cell	0.00923513354707759	0.020213194586446	0	0	0.010713983049385
case	naive_B_cell	0.103041152568497	0.0484314237709525	0.0729825240131497	0.0893104488105883	0.127888911505143
case	natural_killer_cell	0.123797729396604	0.0359408693241747	0.100677011043503	0.12108325120369	0.145301845570888
case	neutrophil	0.00184525802215579	0.00675408725397736	0	0	0
case	plasma_cell	0.000136064549841879	0.00122458094857691	0	0	0
case	plasmacytoid_dendritic_cell	0.0265348229923774	0.075020589392426	0	0	0.0249401909117551
control	B_cell	0.140806199475881	0.068426440459597	0.103775094982322	0.10776187010171	0.201324651652712
control	CD14_positive_monocyte	0.0292703875476168	0.0382216058460153	0.00210120149017242	0.00673435035362318	0.0511201965667454
control	CD16_positive_monocyte	0.00485389255907127	0.00722252564309282	0	0	0.00813739107266346
control	CD4_positive_alpha_beta_T_cell	0.112898982978336	0.0275192027688161	0.104093946206231	0.115213327621622	0.13126344747885
control	CD56bright_natural_killer_cell	0	0	0	0	0
control	CD56dim_natural_killer_cell	0.136106629314917	0.0254001887565446	0.121440204434379	0.129012067165114	0.15139594132277
control	CD8_positive_alpha_beta_T_cell	0.0432514828973969	0.00416142945539349	0.0443147486016645	0.044499797631922	0.0454239354563719
control	MAST_cell	0.410460064144309	0.122860341045474	0.426957173965137	0.435408851657608	0.476036496666942
control	T_cell	0.156150465875733	0.0254653499017916	0.150193026083734	0.159528076223286	0.176687382935222
control	basophil	0	0	0	0	0
control	eosinophil	0	0	0	0	0
control	gamma_delta_T_cell	0	0	0	0	0
control	granulocyte	0	0	0	0	0
control	hematopoietic_progenitor	0.0176853071051685	0.0395455488901169	0	0	0
control	macrophage_m0	0.049655142541783	0.0293129457418021	0.0316017610143353	0.0353939854262908	0.0652331324990301
control	macrophage_m1	0.0378696308097885	0.0172096070144266	0.0265148164307451	0.0360535481037462	0.0440750362872108
control	macrophage_m2	0	0	0	0	0
control	memory_B_cell	0	0	0	0	0
control	monocyte	0.0341242801066881	0.0341528459786444	0.0102385925628359	0.0161320717226929	0.0511201965667454
control	myeloid_dendritic_cell	0.00807625721584858	0.0122839659543272	0	0	0.0126279451531466
control	naive_B_cell	0.140806199475881	0.068426440459597	0.103775094982322	0.10776187010171	0.201324651652712
control	natural_killer_cell	0.136106629314917	0.0254001887565446	0.121440204434379	0.129012067165114	0.15139594132277
control	neutrophil	0	0	0	0	0
control	plasma_cell	0	0	0	0	0
control	plasmacytoid_dendritic_cell	0.00906602340988264	0.0126724629088073	0	0	0.0190650994147766
