	CD14_positive_monocyte	CD16_positive_monocyte	CD4_positive_alpha_beta_T_cell	CD56bright_natural_killer_cell	CD56dim_natural_killer_cell	CD8_positive_alpha_beta_T_cell	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	macrophage_m0	macrophage_m1	macrophage_m2	memory_B_cell	myeloid_dendritic_cell	naive_B_cell	neutrophil	plasma_cell	plasmacytoid_dendritic_cell	natural_killer_cell	monocyte	B_cell	T_cell	granulocyte
TCGA.3H.AB3K.01A	0.00391371829953136	0	0.0746670366628578	0	0.135906064295138	0.0390495593945393	0.456879331114653	0	0	0	0	0.0650907661673596	0.0860231104354651	0.00409808300001745	0	0	0.134372330630438	0	0	0	0.135906064295138	0.00391371829953136	0.134372330630438	0.113716596057397	0
TCGA.3H.AB3L.01A	0	0.0261597943416634	0.0417916092677463	0	0.0991265469703062	0.0460641329386546	0.623494986659263	0	0	0	0	0.0323884813392613	0.0426130586210977	0	0	0.0112281360720818	0.0771332537899256	0	0	0	0.0991265469703062	0.0261597943416634	0.0771332537899256	0.0878557422064009	0
TCGA.3H.AB3M.01A	0.0563892966017208	0	0.122548410552255	0	0.138030002956345	0.0436079475057554	0.390965135409274	0	0	0	0	0.0821024005417018	0.0384678949278045	0	0	0	0.127888911505143	0	0	0	0.138030002956345	0.0563892966017208	0.127888911505143	0.16615635805801	0
TCGA.3H.AB3O.01A	0.0589652618670756	0	0.140241312642082	0	0.0595088798489038	0.086225134048844	0.0561169173373938	0	0.0444152689648668	0	0	0.202980775613412	0.299074709143652	0	0	0	0.0479441754642468	0	0	0.00452756506952371	0.0595088798489038	0.0589652618670756	0.0479441754642468	0.226466446690926	0.0444152689648668
TCGA.3H.AB3S.01A	0	0.0268996586615367	0.0839787959986096	0	0.101569802927426	0.0490747601674455	0.616693150615574	0	0	0	0	0	0.0227407847969412	0	0	0.0160339011395656	0.0830091456929012	0	0	0	0.101569802927426	0.0268996586615367	0.0830091456929012	0.133053556166055	0
TCGA.3H.AB3T.01A	0.0459127529566571	0	0.208854081222877	0	0.125891889656157	0.0448915588535585	0.111610119416096	0	0	0	0.0664561642207705	0.13346940313203	0.159409778255474	0	0	0.0126530482337625	0.0908512040526174	0	0	0	0.125891889656157	0.0459127529566571	0.0908512040526174	0.253745640076436	0
TCGA.3H.AB3U.01A	0	0.0197009049074732	0.0507838510603165	0	0.098458356046814	0.0381599928901597	0.605067457344492	0	0	0	0	0.0264469606287717	0.019058146070552	0	0	0.0217122511136068	0.120612079937814	0	0	0	0.098458356046814	0.0197009049074732	0.120612079937814	0.0889438439504762	0
TCGA.3H.AB3X.01A	0.0741595496897985	0	0.149330021470818	0	0.15557847454698	0.0370821161662098	0.211188928177137	0	0	0	0.0545694556748149	0.00714222466278956	0.0375886852480406	0	0	0	0.196517195467349	0	0	0.0768433488960623	0.15557847454698	0.0741595496897985	0.196517195467349	0.186412137637028	0
TCGA.3U.A98D.01A	0	0.00514902270062917	0.108591927388964	0	0.154461623766252	0.0526821622619767	0.434328418272552	0	0	0	0	0.0827047895649585	0.0297438753409446	0	0	0.0261190365446855	0.0678196660924895	0	0	0.0383994780665476	0.154461623766252	0.00514902270062917	0.0678196660924895	0.161274089650941	0
TCGA.3U.A98E.01A	0.00729374155854158	0	0.122457127198583	0	0.134171444079883	0.038488572665651	0.433498829292328	0	0	0	0	0.0539059123109857	0.0881870481549799	0	0	0	0.107478467046846	0	0	0.0145188576922024	0.134171444079883	0.00729374155854158	0.107478467046846	0.160945699864234	0
