"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"1","PIM1","BTG2",0.00012094639372485,23.6094076357612,33,5,8,2,0.00100788661437375,"Co_Occurence","BTG2, PIM1","8/7"
"2","PIM1","FAT4",0.000159666925854197,23.9487386542021,35,3,7,3,0.00114047804181569,"Co_Occurence","FAT4, PIM1","7/6"
"3","IGLL5","PIM1",0.00184646576797287,12.0665139910064,29,2,8,9,0.0115404110498304,"Co_Occurence","IGLL5, PIM1","8/11"
"4","MUC16","TTN",0.00507418859459967,9.23383411138913,33,4,6,5,0.0281899366366649,"Co_Occurence","MUC16, TTN","6/9"
"5","IGLL5","FAT4",0.0219927199540911,6.23956753377967,28,3,7,10,0.109963599770456,"Co_Occurence","FAT4, IGLL5","7/13"
"6","BTG2","IGLL5",0.0393624075049202,4.45567789703968,26,9,8,5,0.178920034113274,"Co_Occurence","BTG2, IGLL5","8/14"
"7","CARD11","MUC2",0.0937462298851699,4.26122167973444,31,7,5,5,0.390609291188208,"Co_Occurence","CARD11, MUC2","5/12"
"8","BTG2","FAT4",0.107519245168572,3.62871323437145,30,5,5,8,0.413535558340662,"Co_Occurence","BTG2, FAT4","5/13"
"9","FAT4","MUC16",0.206411976527776,2.87453948132941,31,7,4,6,0.737185630456342,"Co_Occurence","FAT4, MUC16","4/13"
"10","MUC2","TTN",0.241154717783205,2.44622355723256,30,6,4,8,0.756832389024469,"Co_Occurence","MUC2, TTN","4/14"
"11","B2M","MLL2",0.24218636448783,0.21917799832185,25,13,1,9,0.756832389024469,"Mutually_Exclusive","B2M, MLL2","1/22"
"12","CARD11","B2M",0.414318921520085,1.8700288730476,31,7,3,7,1,"Co_Occurence","B2M, CARD11","3/14"
"13","FAT4","B2M",0.414318921520085,1.8700288730476,31,7,3,7,1,"Co_Occurence","B2M, FAT4","3/14"
"14","TTN","CARD11",0.414318921520085,1.8700288730476,31,7,3,7,1,"Co_Occurence","CARD11, TTN","3/14"
"15","B2M","MUC16",0.415630637261362,0.317275829704684,28,10,1,9,1,"Mutually_Exclusive","B2M, MUC16","1/19"
"16","CARD11","MLL2",0.448012290182494,1.84073094499895,28,10,4,6,1,"Co_Occurence","CARD11, MLL2","4/16"
"17","IGLL5","B2M",0.458704546062736,0.390383309252713,23,8,2,15,1,"Mutually_Exclusive","B2M, IGLL5","2/23"
"18","MUC2","BTG2",0.468600206065698,0.461364980135299,25,11,2,10,1,"Mutually_Exclusive","BTG2, MUC2","2/21"
"19","MUC2","IGLL5",0.496946851722599,0.530576564862337,22,14,3,9,1,"Mutually_Exclusive","IGLL5, MUC2","3/23"
"20","IGLL5","MLL2",0.522498757666848,1.55316561651648,23,8,6,11,1,"Co_Occurence","IGLL5, MLL2","6/19"
"21","FAT4","CARD11",0.663544912362602,0.364355091995299,29,9,1,9,1,"Mutually_Exclusive","CARD11, FAT4","1/18"
"22","TTN","PIM1",0.663544912362602,0.364355091995299,29,9,1,9,1,"Mutually_Exclusive","PIM1, TTN","1/18"
"23","PIM1","MUC16",0.67535035403409,1.59010734186104,30,8,3,7,1,"Co_Occurence","MUC16, PIM1","3/15"
