"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"24","MUC2","B2M",0.694653846496928,1.37125845457162,29,7,3,9,1,"Co_Occurence","B2M, MUC2","3/16"
"25","MUC2","FAT4",0.694653846496928,1.37125845457162,29,7,3,9,1,"Co_Occurence","FAT4, MUC2","3/16"
"26","MLL2","TTN",0.700616835353217,0.548084650449269,26,8,2,12,1,"Mutually_Exclusive","MLL2, TTN","2/20"
"27","BTG2","B2M",0.705962963293338,0.61948499392029,27,8,2,11,1,"Mutually_Exclusive","B2M, BTG2","2/19"
"28","MUC16","IGLL5",0.723021332049645,0.622075024436024,23,14,3,8,1,"Mutually_Exclusive","IGLL5, MUC16","3/22"
"29","MUC2","MLL2",0.72595580874793,1.29266644825756,26,10,4,8,1,"Co_Occurence","MLL2, MUC2","4/18"
"30","BTG2","MLL2",0.727858893409403,0.660113312688642,24,11,3,10,1,"Mutually_Exclusive","BTG2, MLL2","3/21"
"31","MUC16","MUC2",1,1.16282798867862,28,9,3,8,1,"Co_Occurence","MUC16, MUC2","3/17"
"32","CARD11","IGLL5",1,0.73929989782871,24,14,3,7,1,"Mutually_Exclusive","CARD11, IGLL5","3/21"
"33","TTN","IGLL5",1,0.73929989782871,24,14,3,7,1,"Mutually_Exclusive","IGLL5, TTN","3/21"
"34","MUC16","MLL2",1,0.888540232997637,26,11,3,8,1,"Mutually_Exclusive","MLL2, MUC16","3/19"
"35","FAT4","MLL2",1,1.05083116426399,27,11,3,7,1,"Co_Occurence","FAT4, MLL2","3/18"
"36","PIM1","MLL2",1,1.05083116426399,27,11,3,7,1,"Co_Occurence","MLL2, PIM1","3/18"
"37","MUC16","BTG2",1,1.0122432005235,27,10,3,8,1,"Co_Occurence","BTG2, MUC16","3/18"
"38","CARD11","BTG2",1,1.19531207469597,28,10,3,7,1,"Co_Occurence","BTG2, CARD11","3/17"
"39","TTN","BTG2",1,1.19531207469597,28,10,3,7,1,"Co_Occurence","BTG2, TTN","3/17"
"40","PIM1","MUC2",1,0.70494037431824,28,10,2,8,1,"Mutually_Exclusive","MUC2, PIM1","2/18"
"41","CARD11","MUC16",1,0.809040292520538,29,9,2,8,1,"Mutually_Exclusive","CARD11, MUC16","2/17"
"42","PIM1","B2M",1,0.938744239300668,30,8,2,8,1,"Mutually_Exclusive","B2M, PIM1","2/16"
"43","TTN","B2M",1,0.938744239300668,30,8,2,8,1,"Mutually_Exclusive","B2M, TTN","2/16"
"44","PIM1","CARD11",1,0.938744239300668,30,8,2,8,1,"Mutually_Exclusive","CARD11, PIM1","2/16"
"45","TTN","FAT4",1,0.938744239300668,30,8,2,8,1,"Mutually_Exclusive","FAT4, TTN","2/16"
